Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,13207,924,358,5471,1001,1045,15510,0,60364813,24354151,850
1,13207,908,358,5471,1001,1046,15510,0,60364793,24354171,850
1,12787,892,358,5130,1000,1048,15501,0,60364771,24354191,850
1,12547,875,359,4816,1001,1049,15512,0,60364751,24354211,850
1,12259,857,359,4588,997,1052,15521,0,60364731,24354230,850
1,12012,839,359,4368,996,1048,15536,0,60364711,24354248,860
1,11718,821,359,4190,998,1050,15532,0,60364691,24354266,860
1,11454,803,359,4067,994,1051,15521,0,60364673,24354285,860
1,11179,786,359,3942,995,1052,15514,0,60364655,24354301,860
1,10885,766,359,3832,997,1053,15537,0,60364636,24354318,860
1,10593,748,359,3744,997,1049,15511,0,60364618,24354336,860
1,10346,730,359,3647,998,1046,15489,0,60364601,24354353,860
1,10152,711,359,3555,1005,1039,15511,0,60364585,24354368,860
1,9923,696,360,3479,1006,1039,15447,0,60364568,24354385,860
1,9823,684,360,3393,1012,1040,15488,0,60364551,24354400,860
1,9650,669,360,3313,1020,1043,15482,0,60364536,24354415,860
1,9441,654,361,3246,1029,1033,15449,0,60364521,24354430,860
1,9222,639,361,3171,1034,1035,15496,0,60364506,24354445,860
1,9059,628,361,3098,1040,1031,15551,0,60364491,24354458,860
1,8898,617,360,3040,1042,1038,15611,0,60364476,24354471,860
1,8694,603,360,2979,1046,1037,15730,0,60364461,24354483,860
1,8529,591,360,2923,1042,1039,15863,0,60364448,24354495,860
1,8316,576,361,2878,1040,1033,16116,0,60364433,24354505,860
1,8073,562,360,2827,1038,1030,16293,0,60364418,24354511,860
1,7929,552,361,2776,1036,1019,16513,0,60364405,24354520,860
1,7731,542,361,2726,1034,1013,16709,0,60364391,24354525,860
1,7780,535,361,2669,1035,1005,16976,0,60364378,24354530,860
1,7626,534,361,2622,1036,993,17188,0,60364363,24354531,860
1,7636,531,361,2576,1034,984,17344,0,60364351,24354535,860
1,7803,536,360,2555,1032,972,17549,0,60364336,24354535,860
1,7988,546,360,2615,1032,978,17731,0,60364323,24354536,860
1,8093,555,361,2731,1035,978,17946,0,60364311,24354535,860
1,8173,563,361,2926,1030,994,18205,0,60364296,24354535,860
1,8206,563,361,3169,1028,1013,18374,0,60364283,24354531,870
1,7924,561,361,3367,1031,1032,18504,0,60364268,24354528,870
1,7835,551,361,3495,1031,1039,18633,0,60364255,24354525,870
1,7539,538,361,3496,1027,1048,18633,0,60364255,24354525,870
1,7317,522,361,3417,1026,1047,18894,0,60364226,24354515,870
1,6949,504,361,3260,1027,1043,19012,0,60364215,24354508,870
1,6805,487,361,3069,1023,1041,19137,0,60364201,24354503,870
1,6721,473,361,2929,1022,1038,19385,0,60364190,24354495,870
