Format,AiM CSV File,,,,,,,,,,,,,,,,,,,,,,
Venue,SSKC,,,,,,,,,,,,,,,,,,,,,,
Vehicle,143,,,,,,,,,,,,,,,,,,,,,,
Racer,Nicholas Thorne,,,,,,,,,,,,,,,,,,,,,,
Championship,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,
Date,"Sunday, June 19, 2022",,,,,,,,,,,,,,,,,,,,,,
Time,3:42 PM,,,,,,,,,,,,,,,,,,,,,,
Sample Rate,20,,,,,,,,,,,,,,,,,,,,,,
Duration,951,,,,,,,,,,,,,,,,,,,,,,
Segment,Session,,,,,,,,,,,,,,,,,,,,,,
Beacon Markers,77.2,149.128,211.432,270.088,328.931,387.629,446.908,515.157,574.434,633.224,692.104,750.726,809.236,868.166,932.807,951,,,,,,,
Segment Times,1:17.200,1:11.928,1:02.304,0:58.656,0:58.843,0:58.698,0:59.279,1:08.249,0:59.277,0:58.790,0:58.880,0:58.622,0:58.510,0:58.930,1:04.641,0:18.193,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time,GPS Speed,GPS Nsat,GPS LatAcc,GPS LonAcc,GPS Slope,GPS Heading,GPS Gyro,GPS Altitude,GPS PosAccuracy,GPS SpdAccuracy,GPS Radius,GPS Latitude,GPS Longitude,Logger Temperature,Water Temp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroX,GyroY,GyroZ,Int Batt Voltage,RPM
s,km/h, ,g,g,deg,deg,deg/s,m,m,m/s,m,deg,deg,°C,°C,g,g,g,deg/s,deg/s,deg/s,V,rpm
,,,,,,,,,,,,,,,,,,,,,,,
0.000,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,13.7,13.4,11.3,3.9,0
0.050,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,13.7,13.4,11.3,3.9,0
0.100,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,13.7,13.4,11.3,3.9,0
0.150,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,13.7,13.4,11.3,3.9,0
0.200,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,13.7,13.4,11.3,3.9,289
0.250,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.33,-0.02,-0.81,14.5,13.6,12.1,3.9,289
0.300,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.32,-0.02,-0.81,17.5,14.5,15.1,3.9,674
0.350,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.31,-0.02,-0.82,21.7,15.5,19.6,3.9,690
0.400,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.28,-0.02,-0.83,25.4,16.0,23.7,3.9,695
0.450,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.25,-0.03,-0.85,26.9,15.6,25.7,3.9,695
0.500,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.7,-0.22,-0.03,-0.88,26.0,14.2,25.3,3.9,695
0.550,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.19,-0.04,-0.90,23.2,12.1,22.9,3.9,695
0.600,1.4676,11,0.0000,0.0000,-41.6243,34.8480,0.0000,588.5188,0.2000,0.5000,10000.0000,50.51938948,-104.49508287,26.4,25.8,-0.15,-0.04,-0.93,18.2,9.2,18.4,3.9,695
